2 Thessalonians,1,6,Seeing it is a righteous thing with God to recompense tribulation to them that trouble you;
2 Thessalonians,1,7,"And to you who are troubled rest with us, when the Lord Jesus shall be revealed from heaven with his mighty angels,"
2 Thessalonians,1,8,"In flaming fire taking vengeance on them that know not God, and that obey not the gospel of our Lord Jesus Christ:"
2 Thessalonians,1,9,"Who shall be punished with everlasting destruction from the presence of the Lord, and from the glory of his power;"
2 Thessalonians,1,10,"When he shall come to be glorified in his saints, and to be admired in all them that believe (because our testimony among you was believed) in that day."
2 Thessalonians,1,11,"Wherefore also we pray always for you, that our God would count you worthy of this calling, and fulfil all the good pleasure of his goodness, and the work of faith with power:"
2 Thessalonians,1,12,"That the name of our Lord Jesus Christ may be glorified in you, and ye in him, according to the grace of our God and the Lord Jesus Christ."
2 Thessalonians,2,1,"Now we beseech you, brethren, by the coming of our Lord Jesus Christ, and by our gathering together unto him,"
2 Thessalonians,2,2,"That ye be not soon shaken in mind, or be troubled, neither by spirit, nor by word, nor by letter as from us, as that the day of Christ is at hand."
2 Thessalonians,2,3,"Let no man deceive you by any means: for that day shall not come, except there come a falling away first, and that man of sin be revealed, the son of perdition;"
2 Thessalonians,2,4,"Who opposeth and exalteth himself above all that is called God, or that is worshipped; so that he as God sitteth in the temple of God, shewing himself that he is God."
2 Thessalonians,2,5,"Remember ye not, that, when I was yet with you, I told you these things?"
2 Thessalonians,2,6,And now ye know what withholdeth that he might be revealed in his time.
2 Thessalonians,2,7,"For the mystery of iniquity doth already work: only he who now letteth will let, until he be taken out of the way."
2 Thessalonians,2,8,"And then shall that Wicked be revealed, whom the Lord shall consume with the spirit of his mouth, and shall destroy with the brightness of his coming:"
2 Thessalonians,2,9,"Even him, whose coming is after the working of Satan with all power and signs and lying wonders,"
2 Thessalonians,2,10,"And with all deceivableness of unrighteousness in them that perish; because they received not the love of the truth, that they might be saved."
2 Thessalonians,2,11,"And for this cause God shall send them strong delusion, that they should believe a lie:"
2 Thessalonians,2,12,"That they all might be damned who believed not the truth, but had pleasure in unrighteousness."
2 Thessalonians,2,13,"But we are bound to give thanks alway to God for you, brethren beloved of the Lord, because God hath from the beginning chosen you to salvation through sanctification of the Spirit and belief of the truth:"
2 Thessalonians,2,14,"Whereunto he called you by our gospel, to the obtaining of the glory of our Lord Jesus Christ."
2 Thessalonians,2,15,"Therefore, brethren, stand fast, and hold the traditions which ye have been taught, whether by word, or our epistle."
2 Thessalonians,2,16,"Now our Lord Jesus Christ himself, and God, even our Father, which hath loved us, and hath given us everlasting consolation and good hope through grace,"
2 Thessalonians,2,17,"Comfort your hearts, and stablish you in every good word and work."
2 Thessalonians,3,1,"Finally, brethren, pray for us, that the word of the Lord may have free course, and be glorified, even as it is with you:"
2 Thessalonians,3,2,And that we may be delivered from unreasonable and wicked men: for all men have not faith.
2 Thessalonians,3,3,"But the Lord is faithful, who shall stablish you, and keep you from evil."
2 Thessalonians,3,4,"And we have confidence in the Lord touching you, that ye both do and will do the things which we command you."
2 Thessalonians,3,5,"And the Lord direct your hearts into the love of God, and into the patient waiting for Christ."
2 Thessalonians,3,6,"Now we command you, brethren, in the name of our Lord Jesus Christ, that ye withdraw yourselves from every brother that walketh disorderly, and not after the tradition which he received of us."
2 Thessalonians,3,7,For yourselves know how ye ought to follow us: for we behaved not ourselves disorderly among you;
2 Thessalonians,3,8,"Neither did we eat any man's bread for nought; but wrought with labour and travail night and day, that we might not be chargeable to any of you:"
2 Thessalonians,3,9,"Not because we have not power, but to make ourselves an ensample unto you to follow us."
2 Thessalonians,3,10,"For even when we were with you, this we commanded you, that if any would not work, neither should he eat."
2 Thessalonians,3,11,"For we hear that there are some which walk among you disorderly, working not at all, but are busybodies."
2 Thessalonians,3,12,"Now them that are such we command and exhort by our Lord Jesus Christ, that with quietness they work, and eat their own bread."
2 Thessalonians,3,13,"But ye, brethren, be not weary in well doing."
2 Thessalonians,3,14,"And if any man obey not our word by this epistle, note that man, and have no company with him, that he may be ashamed."
2 Thessalonians,3,15,"Yet count him not as an enemy, but admonish him as a brother."
2 Thessalonians,3,16,Now the Lord of peace himself give you peace always by all means. The Lord be with you all.
2 Thessalonians,3,17,"The salutation of Paul with mine own hand, which is the token in every epistle: so I write."
2 Thessalonians,3,18,The grace of our Lord Jesus Christ be with you all. Amen.
1 Timothy,1,1,"Paul, an apostle of Jesus Christ by the commandment of God our Saviour, and Lord Jesus Christ, which is our hope;"
1 Timothy,1,2,"Unto Timothy, my own son in the faith: Grace, mercy, and peace, from God our Father and Jesus Christ our Lord."
1 Timothy,1,3,"As I besought thee to abide still at Ephesus, when I went into Macedonia, that thou mightest charge some that they teach no other doctrine,"
1 Timothy,1,4,"Neither give heed to fables and endless genealogies, which minister questions, rather than godly edifying which is in faith: so do."
1 Timothy,1,5,"Now the end of the commandment is charity out of a pure heart, and of a good conscience, and of faith unfeigned:"
1 Timothy,1,6,From which some having swerved have turned aside unto vain jangling;
1 Timothy,1,7,"Desiring to be teachers of the law; understanding neither what they say, nor whereof they affirm."
1 Timothy,1,8,"But we know that the law is good, if a man use it lawfully;"
1 Timothy,1,9,"Knowing this, that the law is not made for a righteous man, but for the lawless and disobedient, for the ungodly and for sinners, for unholy and profane, for murderers of fathers and murderers of mothers, for manslayers,"
1 Timothy,1,10,"For whoremongers, for them that defile themselves with mankind, for menstealers, for liars, for perjured persons, and if there be any other thing that is contrary to sound doctrine;"
1 Timothy,1,11,"According to the glorious gospel of the blessed God, which was committed to my trust."
1 Timothy,1,12,"And I thank Christ Jesus our Lord, who hath enabled me, for that he counted me faithful, putting me into the ministry;"
1 Timothy,1,13,"Who was before a blasphemer, and a persecutor, and injurious: but I obtained mercy, because I did it ignorantly in unbelief."
1 Timothy,1,14,And the grace of our Lord was exceeding abundant with faith and love which is in Christ Jesus.
1 Timothy,1,15,"This is a faithful saying, and worthy of all acceptation, that Christ Jesus came into the world to save sinners; of whom I am chief."
1 Timothy,1,16,"Howbeit for this cause I obtained mercy, that in me first Jesus Christ might shew forth all longsuffering, for a pattern to them which should hereafter believe on him to life everlasting."
1 Timothy,1,17,"Now unto the King eternal, immortal, invisible, the only wise God, be honour and glory for ever and ever. Amen."
1 Timothy,1,18,"This charge I commit unto thee, son Timothy, according to the prophecies which went before on thee, that thou by them mightest war a good warfare;"
1 Timothy,1,19,"Holding faith, and a good conscience; which some having put away concerning faith have made shipwreck:"
1 Timothy,1,20,"Of whom is Hymenaeus and Alexander; whom I have delivered unto Satan, that they may learn not to blaspheme."
1 Timothy,2,1,"I exhort therefore, that, first of all, supplications, prayers, intercessions, and giving of thanks, be made for all men;"
1 Timothy,2,2,"For kings, and for all that are in authority; that we may lead a quiet and peaceable life in all godliness and honesty."
1 Timothy,2,3,For this is good and acceptable in the sight of God our Saviour;
1 Timothy,2,4,"Who will have all men to be saved, and to come unto the knowledge of the truth."
1 Timothy,2,5,"For there is one God, and one mediator between God and men, the man Christ Jesus;"
1 Timothy,2,6,"Who gave himself a ransom for all, to be testified in due time."
1 Timothy,2,7,"Whereunto I am ordained a preacher, and an apostle, (I speak the truth in Christ, and lie not;) a teacher of the Gentiles in faith and verity."
1 Timothy,2,8,"I will therefore that men pray every where, lifting up holy hands, without wrath and doubting."
1 Timothy,2,9,"In like manner also, that women adorn themselves in modest apparel, with shamefacedness and sobriety; not with broided hair, or gold, or pearls, or costly array;"
1 Timothy,2,10,But (which becometh women professing godliness) with good works.
1 Timothy,2,11,Let the woman learn in silence with all subjection.
1 Timothy,2,12,"But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence."
1 Timothy,2,13,"For Adam was first formed, then Eve."
1 Timothy,2,14,"And Adam was not deceived, but the woman being deceived was in the transgression."
1 Timothy,2,15,"Notwithstanding she shall be saved in childbearing, if they continue in faith and charity and holiness with sobriety."
1 Timothy,3,1,"This is a true saying, if a man desire the office of a bishop, he desireth a good work."
1 Timothy,3,2,"A bishop then must be blameless, the husband of one wife, vigilant, sober, of good behaviour, given to hospitality, apt to teach;"
1 Timothy,3,3,"Not given to wine, no striker, not greedy of filthy lucre; but patient, not a brawler, not covetous;"
1 Timothy,3,4,"One that ruleth well his own house, having his children in subjection with all gravity;"
1 Timothy,3,5,"(For if a man know not how to rule his own house, how shall he take care of the church of God?)"
1 Timothy,3,6,"Not a novice, lest being lifted up with pride he fall into the condemnation of the devil."
1 Timothy,3,7,Moreover he must have a good report of them which are without; lest he fall into reproach and the snare of the devil.
1 Timothy,3,8,"Likewise must the deacons be grave, not doubletongued, not given to much wine, not greedy of filthy lucre;"
1 Timothy,3,9,Holding the mystery of the faith in a pure conscience.
1 Timothy,3,10,"And let these also first be proved; then let them use the office of a deacon, being found blameless."
1 Timothy,3,11,"Even so must their wives be grave, not slanderers, sober, faithful in all things."
1 Timothy,3,12,"Let the deacons be the husbands of one wife, ruling their children and their own houses well."
1 Timothy,3,13,"For they that have used the office of a deacon well purchase to themselves a good degree, and great boldness in the faith which is in Christ Jesus."
1 Timothy,3,14,"These things write I unto thee, hoping to come unto thee shortly:"
1 Timothy,3,15,"But if I tarry long, that thou mayest know how thou oughtest to behave thyself in the house of God, which is the church of the living God, the pillar and ground of the truth."
1 Timothy,3,16,"And without controversy great is the mystery of godliness: God was manifest in the flesh, justified in the Spirit, seen of angels, preached unto the Gentiles, believed on in the world, received up into glory."
1 Timothy,4,1,"Now the Spirit speaketh expressly, that in the latter times some shall depart from the faith, giving heed to seducing spirits, and doctrines of devils;"
1 Timothy,4,2,Speaking lies in hypocrisy; having their conscience seared with a hot iron;
1 Timothy,4,3,"Forbidding to marry, and commanding to abstain from meats, which God hath created to be received with thanksgiving of them which believe and know the truth."
1 Timothy,4,4,"For every creature of God is good, and nothing to be refused, if it be received with thanksgiving:"
1 Timothy,4,5,For it is sanctified by the word of God and prayer.
1 Timothy,4,6,"If thou put the brethren in remembrance of these things, thou shalt be a good minister of Jesus Christ, nourished up in the words of faith and of good doctrine, whereunto thou hast attained."
1 Timothy,4,7,"But refuse profane and old wives' fables, and exercise thyself rather unto godliness."
1 Timothy,4,8,"For bodily exercise profiteth little: but godliness is profitable unto all things, having promise of the life that now is, and of that which is to come."
1 Timothy,4,9,This is a faithful saying and worthy of all acceptation.
1 Timothy,4,10,"For therefore we both labour and suffer reproach, because we trust in the living God, who is the Saviour of all men, specially of those that believe."
1 Timothy,4,11,These things command and teach.
1 Timothy,4,12,"Let no man despise thy youth; but be thou an example of the believers, in word, in conversation, in charity, in spirit, in faith, in purity."
1 Timothy,4,13,"Till I come, give attendance to reading, to exhortation, to doctrine."
1 Timothy,4,14,"Neglect not the gift that is in thee, which was given thee by prophecy, with the laying on of the hands of the presbytery."
1 Timothy,4,15,Meditate upon these things; give thyself wholly to them; that thy profiting may appear to all.
1 Timothy,4,16,"Take heed unto thyself, and unto the doctrine; continue in them: for in doing this thou shalt both save thyself, and them that hear thee."
1 Timothy,5,1,"Rebuke not an elder, but intreat him as a father; and the younger men as brethren;"
1 Timothy,5,2,"The elder women as mothers; the younger as sisters, with all purity."
1 Timothy,5,3,Honour widows that are widows indeed.
1 Timothy,5,4,"But if any widow have children or nephews, let them learn first to shew piety at home, and to requite their parents: for that is good and acceptable before God."
1 Timothy,5,5,"Now she that is a widow indeed, and desolate, trusteth in God, and continueth in supplications and prayers night and day."
1 Timothy,5,6,But she that liveth in pleasure is dead while she liveth.
1 Timothy,5,7,"And these things give in charge, that they may be blameless."
1 Timothy,5,8,"But if any provide not for his own, and specially for those of his own house, he hath denied the faith, and is worse than an infidel."
1 Timothy,5,9,"Let not a widow be taken into the number under threescore years old, having been the wife of one man."
1 Timothy,5,10,"Well reported of for good works; if she have brought up children, if she have lodged strangers, if she have washed the saints' feet, if she have relieved the afflicted, if she have diligently followed every good work."
1 Timothy,5,11,"But the younger widows refuse: for when they have begun to wax wanton against Christ, they will marry;"
1 Timothy,5,12,"Having damnation, because they have cast off their first faith."
1 Timothy,5,13,"And withal they learn to be idle, wandering about from house to house; and not only idle, but tattlers also and busybodies, speaking things which they ought not."
1 Timothy,5,14,"I will therefore that the younger women marry, bear children, guide the house, give none occasion to the adversary to speak reproachfully."
1 Timothy,5,15,For some are already turned aside after Satan.
1 Timothy,5,16,"If any man or woman that believeth have widows, let them relieve them, and let not the church be charged; that it may relieve them that are widows indeed."
1 Timothy,5,17,"Let the elders that rule well be counted worthy of double honour, especially they who labour in the word and doctrine."
1 Timothy,5,18,"For the scripture saith, thou shalt not muzzle the ox that treadeth out the corn. And, The labourer is worthy of his reward."
1 Timothy,5,19,"Against an elder receive not an accusation, but before two or three witnesses."
1 Timothy,5,20,"Them that sin rebuke before all, that others also may fear."
1 Timothy,5,21,"I charge thee before God, and the Lord Jesus Christ, and the elect angels, that thou observe these things without preferring one before another, doing nothing by partiality."
1 Timothy,5,22,"Lay hands suddenly on no man, neither be partaker of other men's sins: keep thyself pure."
1 Timothy,5,23,"Drink no longer water, but use a little wine for thy stomach's sake and thine often infirmities."
1 Timothy,5,24,"Some men's sins are open beforehand, going before to judgment; and some men they follow after."
1 Timothy,5,25,Likewise also the good works of some are manifest beforehand; and they that are otherwise cannot be hid.
1 Timothy,6,1,"Let as many servants as are under the yoke count their own masters worthy of all honour, that the name of God and his doctrine be not blasphemed."
1 Timothy,6,2,"And they that have believing masters, let them not despise them, because they are brethren; but rather do them service, because they are faithful and beloved, partakers of the benefit. These things teach and exhort."
1 Timothy,6,3,"If any man teach otherwise, and consent not to wholesome words, even the words of our Lord Jesus Christ, and to the doctrine which is according to godliness;"
1 Timothy,6,4,"He is proud, knowing nothing, but doting about questions and strifes of words, whereof cometh envy, strife, railings, evil surmisings,"
1 Timothy,6,5,"Perverse disputings of men of corrupt minds, and destitute of the truth, supposing that gain is godliness: from such withdraw thyself."
1 Timothy,6,6,But godliness with contentment is great gain.
1 Timothy,6,7,"For we brought nothing into this world, and it is certain we can carry nothing out."
1 Timothy,6,8,And having food and raiment let us be therewith content.
1 Timothy,6,9,"But they that will be rich fall into temptation and a snare, and into many foolish and hurtful lusts, which drown men in destruction and perdition."
1 Timothy,6,10,"For the love of money is the root of all evil: which while some coveted after, they have erred from the faith, and pierced themselves through with many sorrows."
1 Timothy,6,11,"But thou, O man of God, flee these things; and follow after righteousness, godliness, faith, love, patience, meekness."
1 Timothy,6,12,"Fight the good fight of faith, lay hold on eternal life, whereunto thou art also called, and hast professed a good profession before many witnesses."
1 Timothy,6,13,"I give thee charge in the sight of God, who quickeneth all things, and before Christ Jesus, who before Pontius Pilate witnessed a good confession;"
1 Timothy,6,14,"That thou keep this commandment without spot, unrebukable, until the appearing of our Lord Jesus Christ:"
1 Timothy,6,15,"Which in his times he shall shew, who is the blessed and only Potentate, the King of kings, and Lord of lords;"
1 Timothy,6,16,"Who only hath immortality, dwelling in the light which no man can approach unto; whom no man hath seen, nor can see: to whom be honour and power everlasting. Amen."
1 Timothy,6,17,"Charge them that are rich in this world, that they be not highminded, nor trust in uncertain riches, but in the living God, who giveth us richly all things to enjoy;"
1 Timothy,6,18,"That they do good, that they be rich in good works, ready to distribute, willing to communicate;"
1 Timothy,6,19,"Laying up in store for themselves a good foundation against the time to come, that they may lay hold on eternal life."
1 Timothy,6,20,"O Timothy, keep that which is committed to thy trust, avoiding profane and vain babblings, and oppositions of science falsely so called:"
1 Timothy,6,21,Which some professing have erred concerning the faith. Grace be with thee. Amen.
2 Timothy,1,1,"Paul, an apostle of Jesus Christ by the will of God, according to the promise of life which is in Christ Jesus,"
2 Timothy,1,2,"To Timothy, my dearly beloved son: Grace, mercy, and peace, from God the Father and Christ Jesus our Lord."
2 Timothy,1,3,"I thank God, whom I serve from my forefathers with pure conscience, that without ceasing I have remembrance of thee in my prayers night and day;"
2 Timothy,1,4,"Greatly desiring to see thee, being mindful of thy tears, that I may be filled with joy;"
2 Timothy,1,5,"When I call to remembrance the unfeigned faith that is in thee, which dwelt first in thy grandmother Lois, and thy mother Eunice; and I am persuaded that in thee also."
2 Timothy,1,6,"Wherefore I put thee in remembrance that thou stir up the gift of God, which is in thee by the putting on of my hands."
2 Timothy,1,7,"For God hath not given us the spirit of fear; but of power, and of love, and of a sound mind."
2 Timothy,1,8,"Be not thou therefore ashamed of the testimony of our Lord, nor of me his prisoner: but be thou partaker of the afflictions of the gospel according to the power of God;"
2 Timothy,1,9,"Who hath saved us, and called us with an holy calling, not according to our works, but according to his own purpose and grace, which was given us in Christ Jesus before the world began,"
2 Timothy,1,10,"But is now made manifest by the appearing of our Saviour Jesus Christ, who hath abolished death, and hath brought life and immortality to light through the gospel:"
2 Timothy,1,11,"Whereunto I am appointed a preacher, and an apostle, and a teacher of the Gentiles."
2 Timothy,1,12,"For the which cause I also suffer these things: nevertheless I am not ashamed: for I know whom I have believed, and am persuaded that he is able to keep that which I have committed unto him against that day."
2 Timothy,1,13,"Hold fast the form of sound words, which thou hast heard of me, in faith and love which is in Christ Jesus."
2 Timothy,1,14,That good thing which was committed unto thee keep by the Holy Ghost which dwelleth in us.
2 Timothy,1,15,"This thou knowest, that all they which are in Asia be turned away from me; of whom are Phygellus and Hermogenes."
2 Timothy,1,16,"The Lord give mercy unto the house of Onesiphorus; for he oft refreshed me, and was not ashamed of my chain:"
2 Timothy,1,17,"But, when he was in Rome, he sought me out very diligently, and found me."
2 Timothy,1,18,"The Lord grant unto him that he may find mercy of the Lord in that day: and in how many things he ministered unto me at Ephesus, thou knowest very well."
2 Timothy,2,1,"Thou therefore, my son, be strong in the grace that is in Christ Jesus."
2 Timothy,2,2,"And the things that thou hast heard of me among many witnesses, the same commit thou to faithful men, who shall be able to teach others also."
2 Timothy,2,3,"Thou therefore endure hardness, as a good soldier of Jesus Christ."
2 Timothy,2,4,No man that warreth entangleth himself with the affairs of this life; that he may please him who hath chosen him to be a soldier.
2 Timothy,2,5,"And if a man also strive for masteries, yet is he not crowned, except he strive lawfully."
2 Timothy,2,6,The husbandman that laboureth must be first partaker of the fruits.
2 Timothy,2,7,Consider what I say; and the Lord give thee understanding in all things.
2 Timothy,2,8,Remember that Jesus Christ of the seed of David was raised from the dead according to my gospel:
2 Timothy,2,9,"Wherein I suffer trouble, as an evil doer, even unto bonds; but the word of God is not bound."
2 Timothy,2,10,"Therefore I endure all things for the elect's sakes, that they may also obtain the salvation which is in Christ Jesus with eternal glory."
2 Timothy,2,11,"It is a faithful saying: For if we be dead with him, we shall also live with him:"
2 Timothy,2,12,"If we suffer, we shall also reign with him: if we deny him, he also will deny us:"
2 Timothy,2,13,"If we believe not, yet he abideth faithful: he cannot deny himself."
2 Timothy,2,14,"Of these things put them in remembrance, charging them before the Lord that they strive not about words to no profit, but to the subverting of the hearers."
2 Timothy,2,15,"Study to shew thyself approved unto God, a workman that needeth not to be ashamed, rightly dividing the word of truth."
2 Timothy,2,16,But shun profane and vain babblings: for they will increase unto more ungodliness.
2 Timothy,2,17,And their word will eat as doth a canker: of whom is Hymenaeus and Philetus;
2 Timothy,2,18,"Who concerning the truth have erred, saying that the resurrection is past already; and overthrow the faith of some."
2 Timothy,2,19,"Nevertheless the foundation of God standeth sure, having this seal, The Lord knoweth them that are his. And, let every one that nameth the name of Christ depart from iniquity."
2 Timothy,2,20,"But in a great house there are not only vessels of gold and of silver, but also of wood and of earth; and some to honour, and some to dishonour."
2 Timothy,2,21,"If a man therefore purge himself from these, he shall be a vessel unto honour, sanctified, and meet for the master's use, and prepared unto every good work."
2 Timothy,2,22,"Flee also youthful lusts: but follow righteousness, faith, charity, peace, with them that call on the Lord out of a pure heart."
2 Timothy,2,23,"But foolish and unlearned questions avoid, knowing that they do gender strifes."
2 Timothy,2,24,"And the servant of the Lord must not strive; but be gentle unto all men, apt to teach, patient,"
2 Timothy,2,25,In meekness instructing those that oppose themselves; if God peradventure will give them repentance to the acknowledging of the truth;
2 Timothy,2,26,"And that they may recover themselves out of the snare of the devil, who are taken captive by him at his will."
2 Timothy,3,1,"This know also, that in the last days perilous times shall come."
2 Timothy,3,2,"For men shall be lovers of their own selves, covetous, boasters, proud, blasphemers, disobedient to parents, unthankful, unholy,"
2 Timothy,3,3,"Without natural affection, trucebreakers, false accusers, incontinent, fierce, despisers of those that are good,"
2 Timothy,3,4,"Traitors, heady, highminded, lovers of pleasures more than lovers of God;"
2 Timothy,3,5,"Having a form of godliness, but denying the power thereof: from such turn away."
2 Timothy,3,6,"For of this sort are they which creep into houses, and lead captive silly women laden with sins, led away with divers lusts,"
2 Timothy,3,7,"Ever learning, and never able to come to the knowledge of the truth."
2 Timothy,3,8,"Now as Jannes and Jambres withstood Moses, so do these also resist the truth: men of corrupt minds, reprobate concerning the faith."
2 Timothy,3,9,"But they shall proceed no further: for their folly shall be manifest unto all men, as their's also was."
2 Timothy,3,10,"But thou hast fully known my doctrine, manner of life, purpose, faith, longsuffering, charity, patience,"
2 Timothy,3,11,"Persecutions, afflictions, which came unto me at Antioch, at Iconium, at Lystra; what persecutions I endured: but out of them all the Lord delivered me."
2 Timothy,3,12,"Yea, and all that will live godly in Christ Jesus shall suffer persecution."
2 Timothy,3,13,"But evil men and seducers shall wax worse and worse, deceiving, and being deceived."
2 Timothy,3,14,"But continue thou in the things which thou hast learned and hast been assured of, knowing of whom thou hast learned them;"
2 Timothy,3,15,"And that from a child thou hast known the holy scriptures, which are able to make thee wise unto salvation through faith which is in Christ Jesus."
2 Timothy,3,16,"All scripture is given by inspiration of God, and is profitable for doctrine, for reproof, for correction, for instruction in righteousness:"
2 Timothy,3,17,"That the man of God may be perfect, thoroughly furnished unto all good works."
2 Timothy,4,1,"I charge thee therefore before God, and the Lord Jesus Christ, who shall judge the quick and the dead at his appearing and his kingdom;"
2 Timothy,4,2,"Preach the word; be instant in season, out of season; reprove, rebuke, exhort with all long suffering and doctrine."
2 Timothy,4,3,"For the time will come when they will not endure sound doctrine; but after their own lusts shall they heap to themselves teachers, having itching ears;"
2 Timothy,4,4,"And they shall turn away their ears from the truth, and shall be turned unto fables."
2 Timothy,4,5,"But watch thou in all things, endure afflictions, do the work of an evangelist, make full proof of thy ministry."
2 Timothy,4,6,"For I am now ready to be offered, and the time of my departure is at hand."
2 Timothy,4,7,"I have fought a good fight, I have finished my course, I have kept the faith:"
2 Timothy,4,8,"Henceforth there is laid up for me a crown of righteousness, which the Lord, the righteous judge, shall give me at that day: and not to me only, but unto all them also that love his appearing."
2 Timothy,4,9,Do thy diligence to come shortly unto me:
2 Timothy,4,10,"For Demas hath forsaken me, having loved this present world, and is departed unto Thessalonica; Crescens to Galatia, Titus unto Dalmatia."
2 Timothy,4,11,"Only Luke is with me. Take Mark, and bring him with thee: for he is profitable to me for the ministry."
2 Timothy,4,12,And Tychicus have I sent to Ephesus.
2 Timothy,4,13,"The cloke that I left at Troas with Carpus, when thou comest, bring with thee, and the books, but especially the parchments."
2 Timothy,4,14,Alexander the coppersmith did me much evil: the Lord reward him according to his works:
2 Timothy,4,15,Of whom be thou ware also; for he hath greatly withstood our words.
2 Timothy,4,16,"At my first answer no man stood with me, but all men forsook me: I pray God that it may not be laid to their charge."
2 Timothy,4,17,"Notwithstanding the Lord stood with me, and strengthened me; that by me the preaching might be fully known, and that all the Gentiles might hear: and I was delivered out of the mouth of the lion."
2 Timothy,4,18,"And the Lord shall deliver me from every evil work, and will preserve me unto his heavenly kingdom: to whom be glory for ever and ever. Amen."
2 Timothy,4,19,"Salute Prisca and Aquila, and the household of Onesiphorus."
2 Timothy,4,20,Erastus abode at Corinth: but Trophimus have I left at Miletum sick.
2 Timothy,4,21,"Do thy diligence to come before winter. Eubulus greeteth thee, and Pudens, and Linus, and Claudia, and all the brethren."
2 Timothy,4,22,The Lord Jesus Christ be with thy spirit. Grace be with you. Amen.
Titus,1,1,"Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of God's elect, and the acknowledging of the truth which is after godliness;"
Titus,1,2,"In hope of eternal life, which God, that cannot lie, promised before the world began;"
Titus,1,3,"But hath in due times manifested his word through preaching, which is committed unto me according to the commandment of God our Saviour;"
Titus,1,4,"To Titus, mine own son after the common faith: Grace, mercy, and peace, from God the Father and the Lord Jesus Christ our Saviour."
Titus,1,5,"For this cause left I thee in Crete, that thou shouldest set in order the things that are wanting, and ordain elders in every city, as I had appointed thee:"
Titus,1,6,"If any be blameless, the husband of one wife, having faithful children not accused of riot or unruly."
Titus,1,7,"For a bishop must be blameless, as the steward of God; not selfwilled, not soon angry, not given to wine, no striker, not given to filthy lucre;"
Titus,1,8,"But a lover of hospitality, a lover of good men, sober, just, holy, temperate;"
Titus,1,9,"Holding fast the faithful word as he hath been taught, that he may be able by sound doctrine both to exhort and to convince the gainsayers."
Titus,1,10,"For there are many unruly and vain talkers and deceivers, specially they of the circumcision:"
Titus,1,11,"Whose mouths must be stopped, who subvert whole houses, teaching things which they ought not, for filthy lucre's sake."
Titus,1,12,"One of themselves, even a prophet of their own, said, the Cretians are alway liars, evil beasts, slow bellies."
Titus,1,13,"This witness is true. Wherefore rebuke them sharply, that they may be sound in the faith;"
Titus,1,14,"Not giving heed to Jewish fables, and commandments of men, that turn from the truth."
Titus,1,15,Unto the pure all things are pure: but unto them that are defiled and unbelieving is nothing pure; but even their mind and conscience is defiled.
Titus,1,16,"They profess that they know God; but in works they deny him, being abominable, and disobedient, and unto every good work reprobate."
Titus,2,1,But speak thou the things which become sound doctrine:
Titus,2,2,"That the aged men be sober, grave, temperate, sound in faith, in charity, in patience."
Titus,2,3,"The aged women likewise, that they be in behaviour as becometh holiness, not false accusers, not given to much wine, teachers of good things;"
Titus,2,4,"That they may teach the young women to be sober, to love their husbands, to love their children,"
Titus,2,5,"To be discreet, chaste, keepers at home, good, obedient to their own husbands, that the word of God be not blasphemed."
Titus,2,6,Young men likewise exhort to be sober minded.
Titus,2,7,"In all things shewing thyself a pattern of good works: in doctrine shewing uncorruptness, gravity, sincerity,"
Titus,2,8,"Sound speech, that cannot be condemned; that he that is of the contrary part may be ashamed, having no evil thing to say of you."
Titus,2,9,"Exhort servants to be obedient unto their own masters, and to please them well in all things; not answering again;"
Titus,2,10,"Not purloining, but shewing all good fidelity; that they may adorn the doctrine of God our Saviour in all things."
Titus,2,11,"For the grace of God that bringeth salvation hath appeared to all men,"
Titus,2,12,"Teaching us that, denying ungodliness and worldly lusts, we should live soberly, righteously, and godly, in this present world;"
Titus,2,13,"Looking for that blessed hope, and the glorious appearing of the great God and our Saviour Jesus Christ;"
Titus,2,14,"Who gave himself for us, that he might redeem us from all iniquity, and purify unto himself a peculiar people, zealous of good works."
Titus,2,15,"These things speak, and exhort, and rebuke with all authority. Let no man despise thee."
Titus,3,1,"Put them in mind to be subject to principalities and powers, to obey magistrates, to be ready to every good work,"
Titus,3,2,"To speak evil of no man, to be no brawlers, but gentle, shewing all meekness unto all men."
Titus,3,3,"For we ourselves also were sometimes foolish, disobedient, deceived, serving divers lusts and pleasures, living in malice and envy, hateful, and hating one another."
Titus,3,4,"But after that the kindness and love of God our Saviour toward man appeared,"
Titus,3,5,"Not by works of righteousness which we have done, but according to his mercy he saved us, by the washing of regeneration, and renewing of the Holy Ghost;"
Titus,3,6,Which he shed on us abundantly through Jesus Christ our Saviour;
Titus,3,7,"That being justified by his grace, we should be made heirs according to the hope of eternal life."
Titus,3,8,"This is a faithful saying, and these things I will that thou affirm constantly, that they which have believed in God might be careful to maintain good works. These things are good and profitable unto men."
Titus,3,9,"But avoid foolish questions, and genealogies, and contentions, and strivings about the law; for they are unprofitable and vain."
Titus,3,10,A man that is an heretick after the first and second admonition reject;
Titus,3,11,"Knowing that he that is such is subverted, and sinneth, being condemned of himself."
Titus,3,12,"When I shall send Artemas unto thee, or Tychicus, be diligent to come unto me to Nicopolis: for I have determined there to winter."
Titus,3,13,"Bring Zenas the lawyer and Apollos on their journey diligently, that nothing be wanting unto them."
